words,frequency
the,336103
and,163798
a,162668
of,145455
to,135235
is,107307
it,96198
in,93374
i,77115
this,75968
that,73209
was,48189
as,46873
for,44138
with,44095
movie,43524
but,42573
film,39589
on,33777
not,30494
you,29893
he,29838
are,29432
his,29360
have,27713
be,26753
one,26146
!,24558
all,23571
at,23480
by,22431
an,21537
who,21289
they,21146
from,20483
so,20152
like,19801
there,18822
her,18402
or,17972
just,17751
about,17358
if,16800
has,16767
out,16585
what,16121
?,16085
some,15733
good,14858
more,14227
when,14180
she,14080
very,14052
even,12636
my,12487
no,12462
up,12366
time,12256
would,12152
which,12044
only,11894
story,11811
really,11734
their,11379
see,11327
had,11288
can,11127
were,10781
me,10748
we,9872
than,9849
well,9737
much,9712
been,9270
get,9270
people,9272
will,9199
bad,9166
other,9153
also,9155
into,9099
do,9076
because,9044
great,9033
first,8922
how,8889
him,8877
most,8773
don't,8441
its,8171
made,8094
then,8083
them,7967
way,7924
make,7754
could,7747
too,7743
any,7658
after,7605
movies,7578
think,7288
characters,7150
character,6956
watch,6928
films,6874
two,6697
many,6669
seen,6659
being,6595
acting,6443
never,6442
plot,6432
little,6411
where,6382
love,6364
best,6355
life,6288
did,6272
show,6228
know,6133
does,5930
ever,5893
here,5763
better,5721
man,5662
your,5640
still,5598
end,5591
over,5583
off,5556
these,5415
say,5389
scene,5320
why,5314
while,5311
scenes,5171
such,5132
go,5060
something,5012
should,4960
through,4941
back,4846
i'm,4748
those,4696
watching,4585
real,4571
though,4563
now,4564
doesn't,4532
thing,4520
years,4478
actors,4451
director,4377
another,4326
didn't,4315
before,4311
nothing,4282
new,4259
funny,4246
actually,4240
work,4237
makes,4193
find,4127
look,4098
old,4080
few,4072
going,4038
same,4034
again,3983
lot,3974
part,3970
every,3968
cast,3782
us,3778
world,3735
quite,3726
want,3698
things,3685
pretty,3654
young,3646
seems,3618
around,3591
got,3586
down,3558
however,3537
can't,3528
fact,3507
horror,3484
take,3475
enough,3446
both,3404
may,3375
give,3374
original,3369
between,3368
big,3351
own,3344
i've,3343
thought,3323
series,3312
without,3260
right,3252
times,3229
long,3224
always,3223
gets,3201
action,3183
comedy,3179
isn't,3175
family,3169
come,3169
point,3165
role,3161
saw,3156
interesting,3120
almost,3122
least,3106
whole,3067
must,3062
bit,3036
music,3029
script,3008
done,3005
guy,2982
anything,2944
minutes,2938
last,2919
since,2906
might,2895
performance,2894
far,2882
feel,2879
probably,2841
am,2772
woman,2764
kind,2758
girl,2754
away,2753
yet,2739
rather,2733
worst,2717
sure,2675
fun,2652
anyone,2632
making,2611
each,2577
played,2574
tv,2571
found,2566
having,2544
day,2538
although,2536
especially,2533
our,2510
course,2503
believe,2493
comes,2483
trying,2469
goes,2437
hard,2413
looks,2412
different,2384
place,2384
book,2368
actor,2362
put,2348
maybe,2341
money,2338
someone,2336
ending,2326
reason,2322
let,2316
everything,2315
wasn't,2307
sense,2307
once,2304
shows,2299
screen,2292
dvd,2292
TRUE,2286
set,2276
