words,polarity
the,0.049097201
and,0.201363576
a,0.033394681
of,0.09983767
to,-0.079021037
is,0.18866014
it,0.007125696
in,0.109215822
i,-0.154986398
this,-0.222690364
that,-0.077230731
was,-0.291845818
as,0.266363416
for,0.021274118
with,0.080013513
movie,-0.246354039
but,-0.065874839
film,0.147885816
on,-0.064977233
not,-0.178636415
you,0.021581024
he,0.235710718
are,0.038773196
his,0.458060461
have,-0.284436794
be,-0.175227962
one,0.087113586
!,-0.134838837
all,-0.033842683
at,-0.185783731
by,0.174414141
an,0.110744306
who,0.14999988
they,-0.37577787
from,0.031152642
so,-0.272096923
like,-0.280547812
there,-0.294149973
her,0.233607863
or,-0.348874873
just,-0.474195131
about,-0.143348721
if,-0.354191429
has,0.267131811
out,-0.132733133
what,-0.168335461
?,-1.112729705
some,-0.117889889
good,0.006649303
more,0.126484137
when,0.067934925
she,0.093556213
very,0.427382079
even,-0.555186494
my,0.003777265
no,-0.771995893
up,-0.150966237
time,0.005440939
would,-0.383385992
which,0.07126175
only,-0.430986169
story,0.202447201
really,-0.08745848
their,0.180163597
see,0.155965665
had,-0.291416676
can,-0.010953617
were,-0.372549258
me,-0.159540496
we,0.020438625
than,-0.120657559
well,0.441646381
much,-0.094935735
been,-0.260675461
get,-0.29214157
people,-0.107444849
will,0.410447507
bad,-1.463712541
other,0.041494351
also,0.565588354
into,-0.02678905
do,-0.364706899
because,-0.20982377
great,1.094682328
first,0.06317179
how,-0.219236698
him,0.251933652
most,0.254956515
don't,-0.549578919
its,0.303946838
made,-0.219544023
then,-0.443575196
them,-0.130471501
way,0.045949471
make,-0.451855924
could,-0.487661331
too,-0.201722677
any,-0.586302815
after,-0.080235085
movies,-0.100490333
think,0.058121344
characters,-0.075112449
character,-0.002287458
watch,-0.067346115
films,0.261400135
two,0.006360776
many,0.289661852
seen,0.102268099
being,-0.037219839
acting,-0.443413788
never,-0.109458675
plot,-0.663771954
little,0.080124028
where,-0.128384375
love,0.847157468
best,1.082444827
life,0.673494516
did,-0.2856963
show,0.249388885
know,-0.233042025
does,0.072859747
ever,-0.154738684
here,-0.156256427
better,-0.321028573
man,0.378696634
your,-0.309600184
