words,polarity,frequency
the,0.049097201,336103
and,0.201363576,163798
a,0.033394681,162668
of,0.09983767,145455
to,-0.079021037,135235
is,0.18866014,107307
it,0.007125696,96198
in,0.109215822,93374
i,-0.154986398,77115
this,-0.222690364,75968
that,-0.077230731,73209
was,-0.291845818,48189
as,0.266363416,46873
for,0.021274118,44138
with,0.080013513,44095
movie,-0.246354039,43524
but,-0.065874839,42573
film,0.147885816,39589
on,-0.064977233,33777
not,-0.178636415,30494
you,0.021581024,29893
he,0.235710718,29838
are,0.038773196,29432
his,0.458060461,29360
have,-0.284436794,27713
be,-0.175227962,26753
one,0.087113586,26146
!,-0.134838837,24558
all,-0.033842683,23571
at,-0.185783731,23480
by,0.174414141,22431
an,0.110744306,21537
who,0.14999988,21289
they,-0.37577787,21146
from,0.031152642,20483
so,-0.272096923,20152
like,-0.280547812,19801
there,-0.294149973,18822
her,0.233607863,18402
or,-0.348874873,17972
just,-0.474195131,17751
about,-0.143348721,17358
if,-0.354191429,16800
has,0.267131811,16767
out,-0.132733133,16585
what,-0.168335461,16121
?,-1.112729705,16085
some,-0.117889889,15733
good,0.006649303,14858
more,0.126484137,14227
when,0.067934925,14180
she,0.093556213,14080
very,0.427382079,14052
even,-0.555186494,12636
my,0.003777265,12487
no,-0.771995893,12462
up,-0.150966237,12366
time,0.005440939,12256
would,-0.383385992,12152
which,0.07126175,12044
only,-0.430986169,11894
story,0.202447201,11811
really,-0.08745848,11734
their,0.180163597,11379
see,0.155965665,11327
had,-0.291416676,11288
can,-0.010953617,11127
were,-0.372549258,10781
me,-0.159540496,10748
we,0.020438625,9872
than,-0.120657559,9849
well,0.441646381,9737
much,-0.094935735,9712
been,-0.260675461,9270
get,-0.29214157,9270
people,-0.107444849,9272
will,0.410447507,9199
bad,-1.463712541,9166
other,0.041494351,9153
also,0.565588354,9155
into,-0.02678905,9099
do,-0.364706899,9076
because,-0.20982377,9044
great,1.094682328,9033
first,0.06317179,8922
how,-0.219236698,8889
him,0.251933652,8877
most,0.254956515,8773
don't,-0.549578919,8441
its,0.303946838,8171
made,-0.219544023,8094
then,-0.443575196,8083
them,-0.130471501,7967
way,0.045949471,7924
make,-0.451855924,7754
could,-0.487661331,7747
too,-0.201722677,7743
any,-0.586302815,7658
after,-0.080235085,7605
movies,-0.100490333,7578
think,0.058121344,7288
characters,-0.075112449,7150
character,-0.002287458,6956
watch,-0.067346115,6928
films,0.261400135,6874
two,0.006360776,6697
many,0.289661852,6669
seen,0.102268099,6659
being,-0.037219839,6595
acting,-0.443413788,6443
never,-0.109458675,6442
plot,-0.663771954,6432
little,0.080124028,6411
where,-0.128384375,6382
love,0.847157468,6364
best,1.082444827,6355
life,0.673494516,6288
did,-0.2856963,6272
show,0.249388885,6228
know,-0.233042025,6133
does,0.072859747,5930
ever,-0.154738684,5893
here,-0.156256427,5763
better,-0.321028573,5721
man,0.378696634,5662
your,-0.309600184,5640
still,0.415343294,5598
end,-0.140286205,5591
over,-0.110242338,5583
off,-0.407005305,5556
